gene	gene_name	n_snps_in_model	n_snps_used	pred_perf_r2	pred_perf_pval
ENSG00000013375	NA	16	13.0	NA	NA
ENSG00000013503	NA	24	13.0	NA	NA
ENSG00000013523	NA	22	19.0	NA	NA
ENSG00000013561	NA	50	35.0	NA	NA
ENSG00000013573	NA	98	72.0	NA	NA
ENSG00000013583	NA	68	36.0	NA	NA
ENSG00000013725	NA	54	36.0	NA	NA
ENSG00000013810	NA	22	17.0	NA	NA
ENSG00000014123	NA	76	52.0	NA	NA
ENSG00000014138	NA	26	14.0	NA	NA
ENSG00000014257	NA	13	3.0	NA	NA
ENSG00000014824	NA	58	31.0	NA	NA
ENSG00000014914	NA	29	9.0	NA	NA
ENSG00000015133	NA	72	44.0	NA	NA
ENSG00000015153	NA	4	4.0	NA	NA
ENSG00000015475	NA	46	42.0	NA	NA
ENSG00000015532	NA	14	5.0	NA	NA
ENSG00000015592	NA	30	21.0	NA	NA
ENSG00000015676	NA	83	61.0	NA	NA
ENSG00000016391	NA	29	23.0	NA	NA
ENSG00000016402	NA	63	22.0	NA	NA
ENSG00000016602	NA	46	28.0	NA	NA
ENSG00000016864	NA	34	14.0	NA	NA
ENSG00000017260	NA	32	26.0	NA	NA
ENSG00000017797	NA	45	30.0	NA	NA
ENSG00000018189	NA	53	31.0	NA	NA
ENSG00000018236	NA	24	24.0	NA	NA
ENSG00000018280	NA	32	17.0	NA	NA
ENSG00000018510	NA	35	10.0	NA	NA
ENSG00000018699	NA	39	18.0	NA	NA
ENSG00000018869	NA	15	13.0	NA	NA
ENSG00000019144	NA	10	5.0	NA	NA
ENSG00000019186	NA	69	46.0	NA	NA
ENSG00000019485	NA	25	18.0	NA	NA
ENSG00000019505	NA	25	23.0	NA	NA
ENSG00000019549	NA	4	3.0	NA	NA
ENSG00000019991	NA	11	7.0	NA	NA
ENSG00000019995	NA	25	11.0	NA	NA
ENSG00000020181	NA	15	12.0	NA	NA
ENSG00000020256	NA	5	3.0	NA	NA
ENSG00000020577	NA	40	23.0	NA	NA
ENSG00000020633	NA	9	8.0	NA	NA
ENSG00000020922	NA	19	18.0	NA	NA
ENSG00000021300	NA	40	13.0	NA	NA
ENSG00000021355	NA	28	22.0	NA	NA
ENSG00000021488	NA	47	33.0	NA	NA
ENSG00000021645	NA	63	32.0	NA	NA
ENSG00000021762	NA	53	37.0	NA	NA
ENSG00000021776	NA	8	5.0	NA	NA
ENSG00000021826	NA	53	34.0	NA	NA
ENSG00000022277	NA	20	15.0	NA	NA
ENSG00000022355	NA	22	14.0	NA	NA
ENSG00000022567	NA	42	29.0	NA	NA
ENSG00000022840	NA	31	16.0	NA	NA
ENSG00000022976	NA	26	15.0	NA	NA
ENSG00000023041	NA	26	22.0	NA	NA
ENSG00000023228	NA	30	19.0	NA	NA
ENSG00000023318	NA	18	14.0	NA	NA
ENSG00000023445	NA	13	9.0	NA	NA
ENSG00000023516	NA	52	34.0	NA	NA
ENSG00000023572	NA	29	18.0	NA	NA
ENSG00000023608	NA	51	31.0	NA	NA
ENSG00000023697	NA	40	17.0	NA	NA
ENSG00000023734	NA	40	19.0	NA	NA
ENSG00000023892	NA	46	17.0	NA	NA
ENSG00000023902	NA	39	12.0	NA	NA
ENSG00000023909	NA	52	37.0	NA	NA
ENSG00000024048	NA	12	12.0	NA	NA
ENSG00000024422	NA	12	8.0	NA	NA
ENSG00000024526	NA	54	23.0	NA	NA
ENSG00000024862	NA	46	25.0	NA	NA
ENSG00000025039	NA	13	10.0	NA	NA
ENSG00000025156	NA	26	21.0	NA	NA
ENSG00000025423	NA	58	31.0	NA	NA
ENSG00000025434	NA	25	12.0	NA	NA
ENSG00000025708	NA	11	9.0	NA	NA
ENSG00000025770	NA	6	4.0	NA	NA
ENSG00000025772	NA	23	9.0	NA	NA
ENSG00000025796	NA	17	12.0	NA	NA
ENSG00000026025	NA	27	18.0	NA	NA
ENSG00000026103	NA	115	54.0	NA	NA
ENSG00000026297	NA	96	53.0	NA	NA
ENSG00000026508	NA	13	10.0	NA	NA
ENSG00000026559	NA	30	11.0	NA	NA
ENSG00000026652	NA	30	23.0	NA	NA
ENSG00000026950	NA	47	21.0	NA	NA
ENSG00000027001	NA	28	24.0	NA	NA
ENSG00000027847	NA	40	24.0	NA	NA
ENSG00000028116	NA	27	17.0	NA	NA
ENSG00000028203	NA	72	54.0	NA	NA
ENSG00000028277	NA	5	4.0	NA	NA
ENSG00000028310	NA	36	20.0	NA	NA
ENSG00000028528	NA	33	19.0	NA	NA
ENSG00000028839	NA	41	29.0	NA	NA
ENSG00000029153	NA	57	34.0	NA	NA
ENSG00000029364	NA	15	12.0	NA	NA
ENSG00000029534	NA	35	27.0	NA	NA
ENSG00000029639	NA	75	37.0	NA	NA
ENSG00000029725	NA	67	50.0	NA	NA
ENSG00000030110	NA	6	6.0	NA	NA
ENSG00000030419	NA	41	17.0	NA	NA
ENSG00000030582	NA	38	19.0	NA	NA
ENSG00000031081	NA	59	39.0	NA	NA
ENSG00000031691	NA	44	35.0	NA	NA
ENSG00000031698	NA	33	18.0	NA	NA
ENSG00000032389	NA	4	1.0	NA	NA
ENSG00000032444	NA	11	6.0	NA	NA
ENSG00000032742	NA	70	55.0	NA	NA
ENSG00000033011	NA	72	26.0	NA	NA
ENSG00000033050	NA	8	6.0	NA	NA
ENSG00000033100	NA	15	7.0	NA	NA
ENSG00000033122	NA	41	15.0	NA	NA
ENSG00000033170	NA	59	35.0	NA	NA
ENSG00000033178	NA	24	24.0	NA	NA
ENSG00000033327	NA	34	21.0	NA	NA
ENSG00000033627	NA	9	2.0	NA	NA
ENSG00000033867	NA	39	34.0	NA	NA
ENSG00000034053	NA	44	24.0	NA	NA
ENSG00000034063	NA	10	9.0	NA	NA
ENSG00000034239	NA	108	61.0	NA	NA
ENSG00000034510	NA	30	16.0	NA	NA
ENSG00000034533	NA	44	20.0	NA	NA
ENSG00000034693	NA	30	20.0	NA	NA
ENSG00000035141	NA	65	36.0	NA	NA
ENSG00000035403	NA	20	16.0	NA	NA
ENSG00000035499	NA	28	18.0	NA	NA
ENSG00000035664	NA	28	22.0	NA	NA
ENSG00000035681	NA	23	11.0	NA	NA
ENSG00000035687	NA	44	23.0	NA	NA
ENSG00000035862	NA	53	32.0	NA	NA
ENSG00000035928	NA	16	7.0	NA	NA
ENSG00000036257	NA	9	9.0	NA	NA
ENSG00000036448	NA	84	56.0	NA	NA
ENSG00000036530	NA	19	9.0	NA	NA
ENSG00000036549	NA	11	2.0	NA	NA
ENSG00000037042	NA	24	20.0	NA	NA
ENSG00000037280	NA	17	8.0	NA	NA
