gene	gene_name	n_snps_in_model	n_snps_used	pred_perf_r2	pred_perf_pval
ENSG00000167637	NA	8	8.0	NA	NA
ENSG00000167642	NA	55	29.0	NA	NA
ENSG00000167644	NA	13	10.0	NA	NA
ENSG00000167646	NA	21	13.0	NA	NA
ENSG00000167653	NA	34	22.0	NA	NA
ENSG00000167656	NA	27	15.0	NA	NA
ENSG00000167657	NA	44	23.0	NA	NA
ENSG00000167664	NA	11	10.0	NA	NA
ENSG00000167670	NA	84	47.0	NA	NA
ENSG00000167671	NA	50	38.0	NA	NA
ENSG00000167676	NA	7	6.0	NA	NA
ENSG00000167693	NA	26	20.0	NA	NA
ENSG00000167695	NA	52	36.0	NA	NA
ENSG00000167699	NA	19	7.0	NA	NA
ENSG00000167700	NA	2	2.0	NA	NA
ENSG00000167702	NA	16	9.0	NA	NA
ENSG00000167703	NA	24	19.0	NA	NA
ENSG00000167705	NA	42	30.0	NA	NA
ENSG00000167711	NA	23	18.0	NA	NA
ENSG00000167720	NA	64	43.0	NA	NA
ENSG00000167721	NA	9	8.0	NA	NA
ENSG00000167723	NA	62	51.0	NA	NA
ENSG00000167733	NA	7	1.0	NA	NA
ENSG00000167740	NA	59	40.0	NA	NA
ENSG00000167754	NA	26	19.0	NA	NA
ENSG00000167765	NA	20	14.0	NA	NA
ENSG00000167766	NA	95	68.0	NA	NA
ENSG00000167771	NA	8	6.0	NA	NA
ENSG00000167775	NA	43	31.0	NA	NA
ENSG00000167778	NA	45	33.0	NA	NA
ENSG00000167799	NA	27	16.0	NA	NA
ENSG00000167807	NA	8	4.0	NA	NA
ENSG00000167815	NA	18	8.0	NA	NA
ENSG00000167840	NA	53	31.0	NA	NA
ENSG00000167842	NA	62	41.0	NA	NA
ENSG00000167858	NA	50	39.0	NA	NA
ENSG00000167861	NA	58	34.0	NA	NA
ENSG00000167862	NA	21	16.0	NA	NA
ENSG00000167863	NA	15	3.0	NA	NA
ENSG00000167880	NA	12	8.0	NA	NA
ENSG00000167881	NA	6	5.0	NA	NA
ENSG00000167889	NA	73	54.0	NA	NA
ENSG00000167895	NA	14	10.0	NA	NA
ENSG00000167900	NA	1	NA	NA	NA
ENSG00000167904	NA	20	19.0	NA	NA
ENSG00000167912	NA	12	9.0	NA	NA
ENSG00000167920	NA	68	47.0	NA	NA
ENSG00000167925	NA	11	8.0	NA	NA
ENSG00000167965	NA	12	9.0	NA	NA
ENSG00000167981	NA	13	8.0	NA	NA
ENSG00000167984	NA	26	16.0	NA	NA
ENSG00000167985	NA	22	13.0	NA	NA
ENSG00000167994	NA	32	21.0	NA	NA
ENSG00000167995	NA	37	23.0	NA	NA
ENSG00000168004	NA	50	28.0	NA	NA
ENSG00000168010	NA	10	8.0	NA	NA
ENSG00000168014	NA	51	15.0	NA	NA
ENSG00000168016	NA	47	35.0	NA	NA
ENSG00000168026	NA	17	13.0	NA	NA
ENSG00000168028	NA	61	20.0	NA	NA
ENSG00000168032	NA	51	35.0	NA	NA
ENSG00000168038	NA	78	63.0	NA	NA
ENSG00000168040	NA	6	5.0	NA	NA
ENSG00000168062	NA	2	1.0	NA	NA
ENSG00000168071	NA	28	21.0	NA	NA
ENSG00000168077	NA	63	44.0	NA	NA
ENSG00000168079	NA	34	26.0	NA	NA
ENSG00000168081	NA	4	4.0	NA	NA
ENSG00000168090	NA	21	5.0	NA	NA
ENSG00000168092	NA	45	27.0	NA	NA
ENSG00000168096	NA	21	11.0	NA	NA
ENSG00000168116	NA	16	13.0	NA	NA
ENSG00000168118	NA	49	27.0	NA	NA
ENSG00000168124	NA	8	6.0	NA	NA
ENSG00000168135	NA	25	16.0	NA	NA
ENSG00000168140	NA	8	7.0	NA	NA
ENSG00000168152	NA	16	6.0	NA	NA
ENSG00000168158	NA	4	4.0	NA	NA
ENSG00000168159	NA	28	23.0	NA	NA
ENSG00000168175	NA	21	8.0	NA	NA
ENSG00000168214	NA	16	14.0	NA	NA
ENSG00000168216	NA	66	41.0	NA	NA
ENSG00000168228	NA	18	17.0	NA	NA
ENSG00000168229	NA	23	20.0	NA	NA
ENSG00000168234	NA	27	22.0	NA	NA
ENSG00000168237	NA	34	13.0	NA	NA
ENSG00000168242	NA	11	6.0	NA	NA
ENSG00000168243	NA	52	33.0	NA	NA
ENSG00000168246	NA	27	13.0	NA	NA
ENSG00000168255	NA	188	89.0	NA	NA
ENSG00000168259	NA	39	16.0	NA	NA
ENSG00000168267	NA	20	9.0	NA	NA
ENSG00000168268	NA	50	19.0	NA	NA
ENSG00000168273	NA	11	3.0	NA	NA
ENSG00000168274	NA	16	9.0	NA	NA
ENSG00000168275	NA	62	42.0	NA	NA
ENSG00000168291	NA	43	23.0	NA	NA
ENSG00000168297	NA	109	76.0	NA	NA
ENSG00000168298	NA	11	6.0	NA	NA
ENSG00000168300	NA	21	16.0	NA	NA
ENSG00000168301	NA	11	10.0	NA	NA
ENSG00000168306	NA	24	14.0	NA	NA
ENSG00000168309	NA	26	13.0	NA	NA
ENSG00000168314	NA	15	9.0	NA	NA
ENSG00000168329	NA	35	16.0	NA	NA
ENSG00000168348	NA	26	14.0	NA	NA
ENSG00000168350	NA	15	11.0	NA	NA
ENSG00000168356	NA	40	33.0	NA	NA
ENSG00000168374	NA	42	28.0	NA	NA
ENSG00000168385	NA	52	37.0	NA	NA
ENSG00000168386	NA	90	52.0	NA	NA
ENSG00000168393	NA	59	25.0	NA	NA
ENSG00000168395	NA	13	10.0	NA	NA
ENSG00000168397	NA	44	26.0	NA	NA
ENSG00000168398	NA	41	24.0	NA	NA
ENSG00000168404	NA	39	22.0	NA	NA
ENSG00000168405	NA	40	29.0	NA	NA
ENSG00000168411	NA	121	47.0	NA	NA
ENSG00000168421	NA	10	6.0	NA	NA
ENSG00000168434	NA	32	23.0	NA	NA
ENSG00000168438	NA	28	21.0	NA	NA
ENSG00000168453	NA	11	9.0	NA	NA
ENSG00000168461	NA	141	78.0	NA	NA
ENSG00000168481	NA	64	32.0	NA	NA
ENSG00000168491	NA	36	26.0	NA	NA
ENSG00000168495	NA	26	12.0	NA	NA
ENSG00000168496	NA	10	6.0	NA	NA
ENSG00000168517	NA	61	27.0	NA	NA
ENSG00000168522	NA	18	16.0	NA	NA
ENSG00000168542	NA	42	12.0	NA	NA
ENSG00000168546	NA	33	20.0	NA	NA
ENSG00000168564	NA	13	10.0	NA	NA
ENSG00000168569	NA	13	7.0	NA	NA
ENSG00000168575	NA	14	14.0	NA	NA
ENSG00000168591	NA	19	13.0	NA	NA
ENSG00000168594	NA	25	20.0	NA	NA
ENSG00000168612	NA	35	19.0	NA	NA
ENSG00000168615	NA	55	44.0	NA	NA
ENSG00000168621	NA	25	13.0	NA	NA
ENSG00000168646	NA	25	23.0	NA	NA
ENSG00000168653	NA	42	27.0	NA	NA
ENSG00000168658	NA	36	11.0	NA	NA
ENSG00000168661	NA	35	27.0	NA	NA
ENSG00000168672	NA	27	20.0	NA	NA
ENSG00000168675	NA	50	34.0	NA	NA
ENSG00000168679	NA	9	6.0	NA	NA
ENSG00000168685	NA	29	16.0	NA	NA
ENSG00000168765	NA	98	45.0	NA	NA
ENSG00000168769	NA	14	12.0	NA	NA
ENSG00000168778	NA	43	28.0	NA	NA
ENSG00000168781	NA	40	17.0	NA	NA
ENSG00000168792	NA	18	12.0	NA	NA
ENSG00000168795	NA	23	14.0	NA	NA
ENSG00000168802	NA	8	2.0	NA	NA
ENSG00000168803	NA	110	40.0	NA	NA
ENSG00000168806	NA	38	9.0	NA	NA
ENSG00000168807	NA	13	12.0	NA	NA
ENSG00000168811	NA	66	60.0	NA	NA
ENSG00000168813	NA	3	3.0	NA	NA
ENSG00000168818	NA	24	20.0	NA	NA
ENSG00000168824	NA	74	50.0	NA	NA
ENSG00000168827	NA	50	50.0	NA	NA
ENSG00000168828	NA	20	15.0	NA	NA
ENSG00000168830	NA	18	14.0	NA	NA
ENSG00000168843	NA	28	25.0	NA	NA
ENSG00000168852	NA	21	15.0	NA	NA
ENSG00000168874	NA	14	7.0	NA	NA
ENSG00000168876	NA	3	3.0	NA	NA
ENSG00000168883	NA	42	30.0	NA	NA
ENSG00000168884	NA	68	32.0	NA	NA
ENSG00000168894	NA	20	11.0	NA	NA
ENSG00000168899	NA	17	14.0	NA	NA
ENSG00000168904	NA	8	7.0	NA	NA
ENSG00000168913	NA	13	7.0	NA	NA
ENSG00000168916	NA	29	17.0	NA	NA
ENSG00000168917	NA	25	15.0	NA	NA
ENSG00000168924	NA	14	14.0	NA	NA
ENSG00000168936	NA	52	32.0	NA	NA
ENSG00000168938	NA	42	17.0	NA	NA
ENSG00000168944	NA	10	8.0	NA	NA
ENSG00000168952	NA	82	55.0	NA	NA
ENSG00000168958	NA	70	50.0	NA	NA
ENSG00000168961	NA	17	9.0	NA	NA
ENSG00000168993	NA	8	7.0	NA	NA
ENSG00000168994	NA	53	36.0	NA	NA
ENSG00000168995	NA	3	2.0	NA	NA
ENSG00000169006	NA	24	10.0	NA	NA
ENSG00000169016	NA	13	10.0	NA	NA
ENSG00000169018	NA	33	19.0	NA	NA
ENSG00000169021	NA	13	11.0	NA	NA
ENSG00000169026	NA	18	10.0	NA	NA
ENSG00000169032	NA	5	3.0	NA	NA
ENSG00000169035	NA	47	33.0	NA	NA
ENSG00000169047	NA	20	10.0	NA	NA
ENSG00000169062	NA	38	21.0	NA	NA
ENSG00000169064	NA	118	76.0	NA	NA
ENSG00000169071	NA	31	20.0	NA	NA
ENSG00000169087	NA	62	32.0	NA	NA
ENSG00000169116	NA	61	38.0	NA	NA
ENSG00000169118	NA	14	8.0	NA	NA
ENSG00000169122	NA	52	34.0	NA	NA
ENSG00000169126	NA	35	13.0	NA	NA
ENSG00000169129	NA	34	26.0	NA	NA
ENSG00000169131	NA	34	27.0	NA	NA
ENSG00000169136	NA	31	18.0	NA	NA
ENSG00000169155	NA	21	11.0	NA	NA
ENSG00000169169	NA	59	32.0	NA	NA
ENSG00000169180	NA	7	4.0	NA	NA
ENSG00000169181	NA	9	4.0	NA	NA
ENSG00000169184	NA	21	14.0	NA	NA
ENSG00000169189	NA	8	7.0	NA	NA
ENSG00000169203	NA	18	10.0	NA	NA
ENSG00000169213	NA	35	9.0	NA	NA
ENSG00000169220	NA	55	29.0	NA	NA
ENSG00000169228	NA	17	9.0	NA	NA
ENSG00000169230	NA	28	12.0	NA	NA
ENSG00000169231	NA	20	11.0	NA	NA
ENSG00000169242	NA	28	18.0	NA	NA
ENSG00000169246	NA	28	13.0	NA	NA
ENSG00000169247	NA	28	15.0	NA	NA
ENSG00000169251	NA	47	31.0	NA	NA
ENSG00000169252	NA	21	12.0	NA	NA
ENSG00000169258	NA	16	9.0	NA	NA
ENSG00000169271	NA	53	37.0	NA	NA
ENSG00000169282	NA	35	23.0	NA	NA
ENSG00000169288	NA	41	31.0	NA	NA
ENSG00000169291	NA	1	1.0	NA	NA
ENSG00000169299	NA	61	48.0	NA	NA
ENSG00000169302	NA	73	45.0	NA	NA
ENSG00000169313	NA	14	12.0	NA	NA
ENSG00000169330	NA	43	20.0	NA	NA
ENSG00000169359	NA	30	25.0	NA	NA
ENSG00000169371	NA	34	30.0	NA	NA
ENSG00000169379	NA	8	5.0	NA	NA
ENSG00000169398	NA	13	9.0	NA	NA
ENSG00000169402	NA	30	24.0	NA	NA
ENSG00000169403	NA	18	10.0	NA	NA
ENSG00000169410	NA	30	6.0	NA	NA
ENSG00000169413	NA	8	8.0	NA	NA
ENSG00000169432	NA	86	31.0	NA	NA
ENSG00000169436	NA	13	10.0	NA	NA
ENSG00000169442	NA	31	23.0	NA	NA
ENSG00000169490	NA	35	18.0	NA	NA
ENSG00000169499	NA	81	49.0	NA	NA
ENSG00000169504	NA	9	6.0	NA	NA
ENSG00000169507	NA	35	27.0	NA	NA
ENSG00000169515	NA	53	38.0	NA	NA
ENSG00000169519	NA	61	40.0	NA	NA
ENSG00000169554	NA	60	25.0	NA	NA
ENSG00000169567	NA	1	1.0	NA	NA
ENSG00000169570	NA	46	33.0	NA	NA
ENSG00000169592	NA	35	17.0	NA	NA
ENSG00000169598	NA	25	23.0	NA	NA
ENSG00000169599	NA	19	10.0	NA	NA
ENSG00000169604	NA	51	27.0	NA	NA
ENSG00000169607	NA	52	28.0	NA	NA
ENSG00000169609	NA	39	23.0	NA	NA
ENSG00000169612	NA	46	26.0	NA	NA
ENSG00000169621	NA	36	19.0	NA	NA
ENSG00000169629	NA	44	35.0	NA	NA
ENSG00000169641	NA	42	34.0	NA	NA
ENSG00000169660	NA	32	24.0	NA	NA
ENSG00000169676	NA	38	34.0	NA	NA
ENSG00000169683	NA	15	12.0	NA	NA
ENSG00000169684	NA	54	44.0	NA	NA
ENSG00000169689	NA	54	36.0	NA	NA
ENSG00000169710	NA	8	5.0	NA	NA
ENSG00000169715	NA	16	12.0	NA	NA
ENSG00000169733	NA	26	21.0	NA	NA
ENSG00000169738	NA	18	11.0	NA	NA
ENSG00000169744	NA	28	22.0	NA	NA
ENSG00000169750	NA	23	18.0	NA	NA
ENSG00000169752	NA	90	22.0	NA	NA
ENSG00000169756	NA	50	22.0	NA	NA
ENSG00000169762	NA	52	31.0	NA	NA
ENSG00000169764	NA	18	13.0	NA	NA
ENSG00000169783	NA	20	14.0	NA	NA
ENSG00000169826	NA	29	18.0	NA	NA
ENSG00000169836	NA	76	34.0	NA	NA
ENSG00000169851	NA	27	12.0	NA	NA
ENSG00000169884	NA	52	38.0	NA	NA
ENSG00000169900	NA	19	18.0	NA	NA
ENSG00000169902	NA	3	NA	NA	NA
ENSG00000169905	NA	68	31.0	NA	NA
ENSG00000169908	NA	5	3.0	NA	NA
ENSG00000169914	NA	43	11.0	NA	NA
ENSG00000169918	NA	25	20.0	NA	NA
ENSG00000169925	NA	46	40.0	NA	NA
ENSG00000169926	NA	22	14.0	NA	NA
ENSG00000169946	NA	51	37.0	NA	NA
ENSG00000169955	NA	9	6.0	NA	NA
ENSG00000169967	NA	20	15.0	NA	NA
ENSG00000169976	NA	18	8.0	NA	NA
ENSG00000169981	NA	5	NA	NA	NA
ENSG00000169989	NA	41	10.0	NA	NA
ENSG00000169992	NA	4	4.0	NA	NA
ENSG00000169994	NA	38	19.0	NA	NA
ENSG00000170004	NA	75	35.0	NA	NA
ENSG00000170011	NA	43	9.0	NA	NA
ENSG00000170017	NA	15	11.0	NA	NA
ENSG00000170027	NA	14	7.0	NA	NA
ENSG00000170035	NA	33	13.0	NA	NA
ENSG00000170037	NA	48	27.0	NA	NA
ENSG00000170049	NA	9	8.0	NA	NA
ENSG00000170074	NA	73	43.0	NA	NA
ENSG00000170088	NA	30	17.0	NA	NA
ENSG00000170089	NA	37	21.0	NA	NA
ENSG00000170091	NA	34	23.0	NA	NA
ENSG00000170100	NA	11	5.0	NA	NA
ENSG00000170113	NA	36	1.0	NA	NA
ENSG00000170145	NA	71	16.0	NA	NA
ENSG00000170153	NA	34	29.0	NA	NA
ENSG00000170160	NA	42	21.0	NA	NA
ENSG00000170175	NA	11	9.0	NA	NA
ENSG00000170180	NA	18	7.0	NA	NA
ENSG00000170185	NA	47	30.0	NA	NA
ENSG00000170191	NA	30	17.0	NA	NA
ENSG00000170209	NA	32	19.0	NA	NA
ENSG00000170214	NA	18	11.0	NA	NA
ENSG00000170222	NA	4	4.0	NA	NA
ENSG00000170234	NA	9	7.0	NA	NA
ENSG00000170242	NA	41	25.0	NA	NA
ENSG00000170248	NA	58	24.0	NA	NA
ENSG00000170260	NA	18	12.0	NA	NA
ENSG00000170264	NA	25	13.0	NA	NA
ENSG00000170266	NA	141	41.0	NA	NA
ENSG00000170275	NA	37	31.0	NA	NA
ENSG00000170276	NA	15	9.0	NA	NA
ENSG00000170289	NA	15	13.0	NA	NA
ENSG00000170290	NA	23	21.0	NA	NA
ENSG00000170291	NA	38	21.0	NA	NA
ENSG00000170310	NA	9	8.0	NA	NA
ENSG00000170312	NA	15	12.0	NA	NA
ENSG00000170315	NA	1	1.0	NA	NA
ENSG00000170322	NA	56	26.0	NA	NA
ENSG00000170323	NA	4	4.0	NA	NA
ENSG00000170324	NA	141	61.0	NA	NA
ENSG00000170356	NA	7	2.0	NA	NA
ENSG00000170364	NA	38	19.0	NA	NA
ENSG00000170365	NA	11	4.0	NA	NA
ENSG00000170379	NA	40	26.0	NA	NA
ENSG00000170381	NA	67	41.0	NA	NA
ENSG00000170382	NA	23	14.0	NA	NA
ENSG00000170390	NA	60	30.0	NA	NA
ENSG00000170396	NA	18	11.0	NA	NA
ENSG00000170412	NA	16	6.0	NA	NA
ENSG00000170419	NA	37	26.0	NA	NA
ENSG00000170421	NA	17	14.0	NA	NA
ENSG00000170425	NA	34	24.0	NA	NA
ENSG00000170426	NA	7	5.0	NA	NA
ENSG00000170430	NA	90	46.0	NA	NA
ENSG00000170439	NA	9	8.0	NA	NA
ENSG00000170448	NA	30	22.0	NA	NA
ENSG00000170456	NA	34	20.0	NA	NA
ENSG00000170458	NA	35	11.0	NA	NA
ENSG00000170464	NA	47	16.0	NA	NA
ENSG00000170469	NA	36	13.0	NA	NA
ENSG00000170471	NA	1	1.0	NA	NA
ENSG00000170473	NA	9	8.0	NA	NA
ENSG00000170485	NA	18	16.0	NA	NA
ENSG00000170502	NA	66	52.0	NA	NA
ENSG00000170509	NA	60	43.0	NA	NA
ENSG00000170522	NA	28	18.0	NA	NA
ENSG00000170523	NA	88	69.0	NA	NA
ENSG00000170540	NA	18	9.0	NA	NA
ENSG00000170542	NA	40	27.0	NA	NA
ENSG00000170558	NA	60	30.0	NA	NA
ENSG00000170571	NA	83	64.0	NA	NA
ENSG00000170581	NA	32	9.0	NA	NA
ENSG00000170584	NA	67	42.0	NA	NA
ENSG00000170604	NA	10	8.0	NA	NA
ENSG00000170606	NA	10	7.0	NA	NA
ENSG00000170619	NA	54	29.0	NA	NA
ENSG00000170667	NA	84	37.0	NA	NA
ENSG00000170677	NA	43	15.0	NA	NA
ENSG00000170681	NA	33	23.0	NA	NA
ENSG00000170703	NA	43	36.0	NA	NA
ENSG00000170820	NA	50	42.0	NA	NA
ENSG00000170835	NA	18	11.0	NA	NA
ENSG00000170837	NA	41	25.0	NA	NA
ENSG00000170846	NA	28	18.0	NA	NA
ENSG00000170852	NA	19	7.0	NA	NA
ENSG00000170854	NA	42	27.0	NA	NA
ENSG00000170855	NA	7	7.0	NA	NA
ENSG00000170860	NA	42	16.0	NA	NA
ENSG00000170873	NA	23	15.0	NA	NA
ENSG00000170876	NA	75	36.0	NA	NA
ENSG00000170881	NA	8	7.0	NA	NA
ENSG00000170891	NA	9	4.0	NA	NA
ENSG00000170893	NA	30	13.0	NA	NA
ENSG00000170899	NA	29	18.0	NA	NA
ENSG00000170903	NA	42	27.0	NA	NA
ENSG00000170915	NA	89	40.0	NA	NA
ENSG00000170917	NA	39	24.0	NA	NA
ENSG00000170919	NA	150	90.0	NA	NA
ENSG00000170946	NA	37	22.0	NA	NA
ENSG00000170949	NA	62	46.0	NA	NA
ENSG00000170954	NA	83	57.0	NA	NA
ENSG00000170955	NA	29	20.0	NA	NA
ENSG00000170959	NA	20	17.0	NA	NA
ENSG00000170962	NA	68	61.0	NA	NA
ENSG00000171016	NA	27	18.0	NA	NA
ENSG00000171033	NA	19	9.0	NA	NA
ENSG00000171044	NA	13	12.0	NA	NA
ENSG00000171045	NA	50	25.0	NA	NA
ENSG00000171049	NA	34	24.0	NA	NA
ENSG00000171051	NA	16	14.0	NA	NA
ENSG00000171055	NA	129	65.0	NA	NA
ENSG00000171056	NA	6	5.0	NA	NA
ENSG00000171067	NA	19	15.0	NA	NA
ENSG00000171084	NA	114	84.0	NA	NA
ENSG00000171097	NA	12	9.0	NA	NA
ENSG00000171103	NA	29	23.0	NA	NA
ENSG00000171105	NA	51	33.0	NA	NA
ENSG00000171109	NA	41	20.0	NA	NA
ENSG00000171115	NA	37	25.0	NA	NA
ENSG00000171121	NA	33	21.0	NA	NA
ENSG00000171126	NA	31	24.0	NA	NA
ENSG00000171130	NA	30	21.0	NA	NA
ENSG00000171132	NA	4	4.0	NA	NA
ENSG00000171135	NA	49	29.0	NA	NA
ENSG00000171148	NA	5	5.0	NA	NA
ENSG00000171150	NA	19	18.0	NA	NA
ENSG00000171159	NA	8	6.0	NA	NA
ENSG00000171160	NA	35	27.0	NA	NA
ENSG00000171180	NA	48	25.0	NA	NA
ENSG00000171189	NA	50	21.0	NA	NA
ENSG00000171202	NA	20	13.0	NA	NA
ENSG00000171204	NA	23	10.0	NA	NA
ENSG00000171206	NA	14	9.0	NA	NA
ENSG00000171208	NA	17	7.0	NA	NA
ENSG00000171222	NA	11	8.0	NA	NA
ENSG00000171224	NA	34	22.0	NA	NA
ENSG00000171241	NA	28	20.0	NA	NA
ENSG00000171243	NA	53	41.0	NA	NA
ENSG00000171246	NA	21	13.0	NA	NA
ENSG00000171262	NA	10	5.0	NA	NA
ENSG00000171291	NA	29	15.0	NA	NA
ENSG00000171295	NA	12	4.0	NA	NA
ENSG00000171298	NA	85	47.0	NA	NA
ENSG00000171302	NA	14	10.0	NA	NA
ENSG00000171303	NA	19	11.0	NA	NA
ENSG00000171307	NA	8	8.0	NA	NA
ENSG00000171310	NA	27	13.0	NA	NA
ENSG00000171311	NA	25	17.0	NA	NA
ENSG00000171314	NA	20	10.0	NA	NA
ENSG00000171316	NA	11	10.0	NA	NA
ENSG00000171320	NA	37	33.0	NA	NA
ENSG00000171345	NA	10	4.0	NA	NA
ENSG00000171357	NA	15	9.0	NA	NA
ENSG00000171368	NA	9	7.0	NA	NA
ENSG00000171385	NA	14	10.0	NA	NA
ENSG00000171408	NA	11	6.0	NA	NA
ENSG00000171443	NA	4	4.0	NA	NA
ENSG00000171490	NA	19	15.0	NA	NA
ENSG00000171502	NA	59	45.0	NA	NA
ENSG00000171503	NA	49	19.0	NA	NA
ENSG00000171509	NA	35	28.0	NA	NA
ENSG00000171517	NA	57	37.0	NA	NA
ENSG00000171522	NA	29	17.0	NA	NA
ENSG00000171530	NA	30	20.0	NA	NA
ENSG00000171552	NA	5	5.0	NA	NA
ENSG00000171566	NA	49	33.0	NA	NA
ENSG00000171574	NA	34	24.0	NA	NA
ENSG00000171700	NA	11	10.0	NA	NA
ENSG00000171703	NA	2	2.0	NA	NA
ENSG00000171714	NA	43	23.0	NA	NA
ENSG00000171847	NA	20	14.0	NA	NA
ENSG00000171853	NA	88	60.0	NA	NA
ENSG00000171861	NA	23	12.0	NA	NA
ENSG00000171862	NA	36	28.0	NA	NA
ENSG00000171863	NA	24	21.0	NA	NA
ENSG00000171865	NA	24	19.0	NA	NA
ENSG00000171867	NA	9	7.0	NA	NA
ENSG00000171873	NA	55	38.0	NA	NA
ENSG00000171877	NA	8	4.0	NA	NA
ENSG00000171903	NA	80	45.0	NA	NA
ENSG00000171928	NA	48	24.0	NA	NA
ENSG00000171931	NA	37	24.0	NA	NA
ENSG00000171940	NA	19	15.0	NA	NA
ENSG00000171943	NA	7	7.0	NA	NA
ENSG00000171951	NA	54	31.0	NA	NA
ENSG00000171953	NA	25	5.0	NA	NA
ENSG00000171960	NA	18	18.0	NA	NA
ENSG00000171962	NA	26	14.0	NA	NA
ENSG00000171970	NA	46	30.0	NA	NA
ENSG00000171984	NA	32	22.0	NA	NA
ENSG00000172006	NA	24	18.0	NA	NA
ENSG00000172009	NA	6	4.0	NA	NA
ENSG00000172020	NA	10	9.0	NA	NA
ENSG00000172031	NA	49	35.0	NA	NA
ENSG00000172037	NA	16	6.0	NA	NA
ENSG00000172057	NA	58	13.0	NA	NA
ENSG00000172058	NA	25	12.0	NA	NA
ENSG00000172059	NA	10	9.0	NA	NA
ENSG00000172062	NA	31	15.0	NA	NA
ENSG00000172071	NA	35	30.0	NA	NA
ENSG00000172086	NA	10	10.0	NA	NA
ENSG00000172113	NA	39	37.0	NA	NA
ENSG00000172123	NA	14	11.0	NA	NA
ENSG00000172137	NA	10	4.0	NA	NA
ENSG00000172159	NA	35	21.0	NA	NA
ENSG00000172164	NA	21	16.0	NA	NA
ENSG00000172167	NA	65	35.0	NA	NA
ENSG00000172171	NA	54	52.0	NA	NA
ENSG00000172175	NA	74	42.0	NA	NA
ENSG00000172183	NA	4	4.0	NA	NA
ENSG00000172239	NA	18	12.0	NA	NA
ENSG00000172243	NA	28	22.0	NA	NA
ENSG00000172244	NA	17	13.0	NA	NA
ENSG00000172247	NA	15	13.0	NA	NA
ENSG00000172250	NA	23	20.0	NA	NA
ENSG00000172260	NA	21	14.0	NA	NA
ENSG00000172262	NA	73	61.0	NA	NA
ENSG00000172273	NA	87	42.0	NA	NA
ENSG00000172292	NA	23	17.0	NA	NA
ENSG00000172296	NA	6	6.0	NA	NA
ENSG00000172301	NA	20	15.0	NA	NA
ENSG00000172318	NA	56	35.0	NA	NA
ENSG00000172331	NA	63	27.0	NA	NA
ENSG00000172339	NA	25	18.0	NA	NA
ENSG00000172340	NA	97	68.0	NA	NA
ENSG00000172345	NA	58	31.0	NA	NA
ENSG00000172346	NA	64	34.0	NA	NA
ENSG00000172348	NA	18	14.0	NA	NA
ENSG00000172366	NA	19	10.0	NA	NA
ENSG00000172375	NA	18	7.0	NA	NA
ENSG00000172379	NA	44	32.0	NA	NA
ENSG00000172380	NA	43	26.0	NA	NA
ENSG00000172399	NA	9	5.0	NA	NA
ENSG00000172403	NA	20	12.0	NA	NA
ENSG00000172426	NA	31	27.0	NA	NA
ENSG00000172456	NA	111	59.0	NA	NA
ENSG00000172458	NA	9	8.0	NA	NA
ENSG00000172460	NA	29	19.0	NA	NA
ENSG00000172461	NA	21	14.0	NA	NA
ENSG00000172469	NA	54	36.0	NA	NA
ENSG00000172493	NA	33	18.0	NA	NA
ENSG00000172497	NA	18	11.0	NA	NA
ENSG00000172500	NA	17	11.0	NA	NA
ENSG00000172530	NA	36	34.0	NA	NA
ENSG00000172543	NA	21	9.0	NA	NA
ENSG00000172548	NA	12	7.0	NA	NA
ENSG00000172551	NA	6	6.0	NA	NA
ENSG00000172568	NA	38	12.0	NA	NA
ENSG00000172572	NA	63	34.0	NA	NA
ENSG00000172575	NA	28	18.0	NA	NA
ENSG00000172590	NA	14	5.0	NA	NA
ENSG00000172594	NA	39	27.0	NA	NA
ENSG00000172613	NA	65	36.0	NA	NA
ENSG00000172638	NA	58	34.0	NA	NA
ENSG00000172640	NA	13	8.0	NA	NA
ENSG00000172650	NA	8	7.0	NA	NA
ENSG00000172661	NA	101	43.0	NA	NA
ENSG00000172667	NA	47	21.0	NA	NA
ENSG00000172671	NA	25	17.0	NA	NA
ENSG00000172673	NA	28	17.0	NA	NA
ENSG00000172687	NA	43	36.0	NA	NA
ENSG00000172716	NA	40	24.0	NA	NA
ENSG00000172717	NA	30	23.0	NA	NA
ENSG00000172728	NA	39	27.0	NA	NA
ENSG00000172731	NA	54	40.0	NA	NA
ENSG00000172738	NA	1	1.0	NA	NA
ENSG00000172757	NA	11	7.0	NA	NA
ENSG00000172765	NA	8	7.0	NA	NA
ENSG00000172766	NA	32	11.0	NA	NA
ENSG00000172771	NA	31	11.0	NA	NA
ENSG00000172775	NA	38	13.0	NA	NA
ENSG00000172780	NA	12	6.0	NA	NA
ENSG00000172782	NA	59	30.0	NA	NA
ENSG00000172794	NA	29	23.0	NA	NA
ENSG00000172795	NA	78	36.0	NA	NA
ENSG00000172803	NA	44	28.0	NA	NA
ENSG00000172817	NA	38	16.0	NA	NA
ENSG00000172824	NA	2	1.0	NA	NA
ENSG00000172830	NA	23	21.0	NA	NA
ENSG00000172831	NA	31	19.0	NA	NA
ENSG00000172840	NA	17	11.0	NA	NA
ENSG00000172878	NA	30	24.0	NA	NA
ENSG00000172888	NA	14	10.0	NA	NA
ENSG00000172890	NA	37	28.0	NA	NA
