gene	gene_name	n_snps_in_model	n_snps_used	pred_perf_r2	pred_perf_pval
ENSG00000176788	ENSG00000176788	1	1.0	0.0180927387461967	0.0036248469479009
ENSG00000176809	ENSG00000176809	37	32.0	0.0224413520921179	0.00118084184393192
ENSG00000176834	ENSG00000176834	12	11.0	0.0772682673169769	1.0267307402441101e-09
ENSG00000176840	ENSG00000176840	9	9.0	0.525781007851244	3.42233793037048e-77
ENSG00000176845	ENSG00000176845	7	7.0	0.011366672950143	0.0213421714074001
ENSG00000176853	ENSG00000176853	34	30.0	0.0350423203631565	4.77959005945211e-05
ENSG00000176871	ENSG00000176871	73	70.0	0.0398257777814684	1.42380771606652e-05
ENSG00000176884	ENSG00000176884	2	2.0	0.0118674589108266	0.0186560090066174
ENSG00000176887	ENSG00000176887	70	63.0	0.0091370074570538	0.0391470410816106
ENSG00000176890	ENSG00000176890	30	24.0	0.0125310153829786	0.0156228529540873
ENSG00000176894	ENSG00000176894	29	24.0	0.103143911647914	1.21800153351181e-12
ENSG00000176903	ENSG00000176903	1	1.0	0.036445181767397	3.35036479976182e-05
ENSG00000176912	ENSG00000176912	43	37.0	0.0269386982253843	0.000374084627101587
ENSG00000176915	ENSG00000176915	15	13.0	0.0130446148719927	0.0136259451041699
ENSG00000176927	ENSG00000176927	18	15.0	0.174254610168711	4.48594263914e-21
ENSG00000176928	ENSG00000176928	4	4.0	0.0236888266437587	0.000857736541576086
ENSG00000176945	ENSG00000176945	83	61.0	0.456153459130934	2.33509962767559e-63
ENSG00000176946	ENSG00000176946	22	22.0	0.00982715351594727	0.0323959403330526
ENSG00000176953	ENSG00000176953	21	15.0	0.0401684547035436	1.30553133143678e-05
ENSG00000176956	ENSG00000176956	7	4.0	0.0493718290414754	1.26996770763763e-06
ENSG00000176974	ENSG00000176974	58	43.0	0.150384679617015	3.58353683639992e-18
ENSG00000176978	ENSG00000176978	15	15.0	0.152527429618006	1.98103047215343e-18
ENSG00000176986	ENSG00000176986	24	22.0	0.00906014603833372	0.03998495745379
ENSG00000176994	ENSG00000176994	29	28.0	0.122492864260495	7.11386528673975e-15
ENSG00000176998	ENSG00000176998	136	16.0	0.604754477389923	1.4131394042722201e-95
ENSG00000177000	ENSG00000177000	28	27.0	0.0526229397462312	5.56872725393907e-07
ENSG00000177030	ENSG00000177030	26	21.0	0.0623378689612416	4.70751548545246e-08
ENSG00000177042	ENSG00000177042	29	20.0	0.398575428341357	3.44213237939952e-53
ENSG00000177058	ENSG00000177058	21	19.0	0.0117361798630381	0.0193245935983649
ENSG00000177076	ENSG00000177076	4	3.0	0.0290235332097442	0.000220061767949447
ENSG00000177082	ENSG00000177082	11	10.0	0.03212602164405	0.000100095742394492
ENSG00000177084	ENSG00000177084	37	36.0	0.594068298128335	6.94997611064568e-93
ENSG00000177096	ENSG00000177096	4	3.0	0.0368833231239481	2.99856575203644e-05
ENSG00000177098	ENSG00000177098	14	14.0	0.0129223027482026	0.0140764232945636
ENSG00000177103	ENSG00000177103	1	1.0	0.0165978971684351	0.0053483974136816
ENSG00000177105	ENSG00000177105	3	3.0	0.0101390275874905	0.0297542915496503
ENSG00000177106	ENSG00000177106	35	29.0	0.177270468110865	1.90348696042409e-21
ENSG00000177150	ENSG00000177150	28	25.0	0.0660217949237436	1.83829965979543e-08
ENSG00000177169	ENSG00000177169	38	27.0	0.0154123931619128	0.00729327933165966
ENSG00000177200	ENSG00000177200	59	56.0	0.0312128820826978	0.000126192743155451
ENSG00000177225	ENSG00000177225	41	29.0	0.111044816784359	1.50890217386336e-13
ENSG00000177234	ENSG00000177234	34	30.0	0.0855718310546964	1.2009967862299e-10
ENSG00000177239	ENSG00000177239	64	62.0	0.141691363630932	3.91371997537867e-17
ENSG00000177283	ENSG00000177283	2	2.0	0.027678774685471	0.000309824453688317
ENSG00000177302	ENSG00000177302	28	19.0	0.119753640066797	1.48212754530017e-14
ENSG00000177303	ENSG00000177303	1	NA	0.0286995977006216	0.000238954810615738
ENSG00000177311	ENSG00000177311	19	18.0	0.0107679243811097	0.0250850370316117
ENSG00000177335	ENSG00000177335	38	32.0	0.0516225280878513	7.1775084661396e-07
ENSG00000177337	ENSG00000177337	3	2.0	0.0129215253305137	0.0140793348491111
ENSG00000177352	ENSG00000177352	1	1.0	0.0260560951562888	0.000468469881041877
ENSG00000177370	ENSG00000177370	8	6.0	0.158361011146728	3.9174129344505103e-19
ENSG00000177374	ENSG00000177374	47	41.0	0.0202093519229514	0.00209657532772782
ENSG00000177383	ENSG00000177383	13	13.0	0.0135566133248098	0.0118948039677768
ENSG00000177406	ENSG00000177406	12	12.0	0.304380748946589	1.79822258016399e-38
ENSG00000177409	ENSG00000177409	12	11.0	0.192367176600014	2.48995698417802e-23
ENSG00000177410	ENSG00000177410	1	1.0	0.0201356215739433	0.00213682598439513
ENSG00000177425	ENSG00000177425	89	80.0	0.120570761594341	1.19092310402931e-14
ENSG00000177426	ENSG00000177426	1	1.0	0.0245895787621136	0.000681230800058508
ENSG00000177432	ENSG00000177432	1	1.0	0.0673550409119296	1.30733916694699e-08
ENSG00000177453	ENSG00000177453	2	2.0	0.0617515152358029	5.46647669811037e-08
ENSG00000177459	ENSG00000177459	14	14.0	0.0291338681763946	0.000213975014574786
ENSG00000177465	ENSG00000177465	12	11.0	0.191202034184329	3.48927755760207e-23
ENSG00000177469	ENSG00000177469	8	6.0	0.0134832850033237	0.0121282172785453
ENSG00000177483	ENSG00000177483	13	11.0	0.233090110424373	1.38789738742088e-28
ENSG00000177511	ENSG00000177511	1	1.0	0.0393406095972175	1.60982260605222e-05
ENSG00000177519	ENSG00000177519	16	14.0	0.0344099213946722	5.61009650759167e-05
ENSG00000177542	ENSG00000177542	2	2.0	0.0286516162613557	0.000241888451735391
ENSG00000177548	ENSG00000177548	11	7.0	0.0351314295921765	4.67291274671834e-05
ENSG00000177551	ENSG00000177551	29	29.0	0.178934532814236	1.18459554131241e-21
ENSG00000177556	ENSG00000177556	2	2.0	0.0151112957353316	0.00789314757842834
ENSG00000177570	ENSG00000177570	23	23.0	0.05472667301556	3.26464681982491e-07
ENSG00000177575	ENSG00000177575	1	1.0	0.0162618790500961	0.00583891795273371
ENSG00000177576	ENSG00000177576	2	2.0	0.0217569898672038	0.00140767656852206
ENSG00000177595	ENSG00000177595	4	4.0	0.0680424964125332	1.09650542196286e-08
ENSG00000177606	ENSG00000177606	3	3.0	0.0167017614833442	0.00520540790983265
ENSG00000177613	ENSG00000177613	15	13.0	0.11732609028567	2.8357448861285102e-14
ENSG00000177614	ENSG00000177614	3	3.0	0.0260050780462637	0.000474605814273567
ENSG00000177640	ENSG00000177640	8	6.0	0.0522149338076179	6.17606835739014e-07
ENSG00000177646	ENSG00000177646	7	5.0	0.0503533160427172	9.90254955364573e-07
ENSG00000177663	ENSG00000177663	9	8.0	0.186091462965524	1.52454012804554e-22
ENSG00000177666	ENSG00000177666	9	7.0	0.238248526976565	2.86871664178689e-29
ENSG00000177674	ENSG00000177674	46	45.0	0.038206382667013	2.14513379532523e-05
ENSG00000177675	ENSG00000177675	16	15.0	0.101290012104557	1.98378216359342e-12
ENSG00000177683	ENSG00000177683	20	19.0	0.0259339310228479	0.000483297941132132
ENSG00000177692	ENSG00000177692	24	24.0	0.128650973519629	1.35587828178907e-15
ENSG00000177697	ENSG00000177697	10	10.0	0.158114730602348	4.1957311575854403e-19
ENSG00000177700	ENSG00000177700	13	11.0	0.117685166193019	2.57649677171782e-14
ENSG00000177731	ENSG00000177731	5	3.0	0.0201140468265988	0.00214875099219659
ENSG00000177822	ENSG00000177822	1	1.0	0.0194930967645647	0.00252237243954822
ENSG00000177830	ENSG00000177830	24	19.0	0.0135724782639257	0.0118449115338774
ENSG00000177839	ENSG00000177839	26	21.0	0.264870800875939	7.09174084890262e-33
ENSG00000177842	ENSG00000177842	2	2.0	0.0189478654562213	0.00290431519921778
ENSG00000177853	ENSG00000177853	24	21.0	0.0841736468503046	1.72543073294923e-10
ENSG00000177868	ENSG00000177868	58	53.0	0.212793567866569	6.21797242172237e-26
ENSG00000177873	ENSG00000177873	3	3.0	0.0145523965133023	0.00914335818480082
ENSG00000177875	ENSG00000177875	1	1.0	0.0202413767195322	0.002079331846025
ENSG00000177885	ENSG00000177885	16	14.0	0.0186368451827007	0.00314788791884111
ENSG00000177888	ENSG00000177888	63	57.0	0.0161538707597386	0.00600611027692566
ENSG00000177889	ENSG00000177889	29	28.0	0.0119979807206789	0.0180148607015381
ENSG00000177932	ENSG00000177932	7	6.0	0.047013604664553	2.30815578934251e-06
ENSG00000177946	ENSG00000177946	23	16.0	0.0974877168798689	5.38094194660463e-12
ENSG00000177954	ENSG00000177954	2	1.0	0.0464187935165424	2.68340629421109e-06
ENSG00000177963	ENSG00000177963	14	12.0	0.181220701749297	6.165091152216309e-22
ENSG00000177984	ENSG00000177984	18	15.0	0.433150814313478	3.57587698340876e-59
ENSG00000177990	ENSG00000177990	42	37.0	0.411818511140228	1.933778860982e-55
ENSG00000177994	ENSG00000177994	31	29.0	0.0163731850150297	0.00567156571945805
ENSG00000178021	ENSG00000178021	4	4.0	0.0169468164127035	0.00488322575331338
ENSG00000178028	ENSG00000178028	14	14.0	0.059924858343031	8.7056081357419e-08
ENSG00000178031	ENSG00000178031	53	51.0	0.0190839016675372	0.00280386032308767
ENSG00000178035	ENSG00000178035	1	1.0	0.0105989310111828	0.0262597798411786
ENSG00000178038	ENSG00000178038	53	50.0	0.162345894606517	1.2869417941721701e-19
ENSG00000178053	ENSG00000178053	21	17.0	0.0162446820025594	0.00586521823791642
ENSG00000178074	ENSG00000178074	1	1.0	0.0308146230205803	0.0001396166499707
ENSG00000178075	ENSG00000178075	9	8.0	0.0687729969852985	9.09520700803384e-09
ENSG00000178078	ENSG00000178078	44	43.0	0.202411821419701	1.33165400294867e-24
ENSG00000178104	ENSG00000178104	3	NA	0.0126843104442447	0.014997231238719
ENSG00000178127	ENSG00000178127	2	2.0	0.0287099625429728	0.000238325797280291
ENSG00000178149	ENSG00000178149	15	14.0	0.0141465566677877	0.0101763509173713
ENSG00000178150	ENSG00000178150	11	10.0	0.012141308042947	0.017336862742434
ENSG00000178171	ENSG00000178171	26	21.0	0.0207690933334101	0.00181494554102932
ENSG00000178184	ENSG00000178184	1	NA	0.0454827321219505	3.40113351892719e-06
ENSG00000178187	ENSG00000178187	11	11.0	0.0652378153009807	2.24595515531935e-08
ENSG00000178188	ENSG00000178188	23	18.0	0.022631388905508	0.00112465752580295
ENSG00000178199	ENSG00000178199	2	2.0	0.0342104594787583	5.90091819460433e-05
ENSG00000178202	ENSG00000178202	9	7.0	0.150957640526214	3.05870567086124e-18
ENSG00000178209	ENSG00000178209	10	10.0	0.124450235180257	4.20509848321408e-15
ENSG00000178222	ENSG00000178222	34	28.0	0.0965205086342044	6.9319775426244795e-12
ENSG00000178229	ENSG00000178229	10	9.0	0.057338152450584	1.6812646745842e-07
ENSG00000178235	ENSG00000178235	2	2.0	0.0267286639788782	0.000394650673740524
ENSG00000178252	ENSG00000178252	39	36.0	0.243224430959261	6.2080951414078495e-30
ENSG00000178301	ENSG00000178301	29	25.0	0.129899160389083	9.67730932376908e-16
ENSG00000178338	ENSG00000178338	16	13.0	0.0356754660154157	4.07140200985726e-05
ENSG00000178381	ENSG00000178381	9	8.0	0.0257826401928461	0.000502317034844903
ENSG00000178385	ENSG00000178385	2	2.0	0.0248958234678062	0.000629952861068168
ENSG00000178386	ENSG00000178386	3	3.0	0.0288605159141866	0.000229374296564545
ENSG00000178394	ENSG00000178394	1	1.0	0.0299975882646332	0.000171808243965831
ENSG00000178397	ENSG00000178397	17	13.0	0.0659206863320448	1.88641407675961e-08
ENSG00000178401	ENSG00000178401	16	15.0	0.0159892232463231	0.006270393703099
ENSG00000178404	ENSG00000178404	3	3.0	0.0116755928830642	0.0196414275552683
ENSG00000178409	ENSG00000178409	1	NA	0.0154710880413975	0.00718186022183829
ENSG00000178445	ENSG00000178445	54	53.0	0.0822675394652722	2.82570397677359e-10
ENSG00000178449	ENSG00000178449	18	15.0	0.0157418262915808	0.00668992041823986
ENSG00000178467	ENSG00000178467	14	14.0	0.10970118702299	2.15469053763287e-13
ENSG00000178498	ENSG00000178498	3	3.0	0.0116995501091866	0.0195155107727955
ENSG00000178502	ENSG00000178502	69	60.0	0.0364668571537559	3.33202712868851e-05
ENSG00000178538	ENSG00000178538	15	14.0	0.0885709283642997	5.5131017154168003e-11
ENSG00000178568	ENSG00000178568	1	1.0	0.0142951923703842	0.00978486458280265
ENSG00000178585	ENSG00000178585	40	39.0	0.0328646984925933	8.29965846833373e-05
ENSG00000178602	ENSG00000178602	5	4.0	0.00877092288181089	0.0433099807546494
ENSG00000178607	ENSG00000178607	2	2.0	0.0220016667867498	0.00132192587030874
ENSG00000178662	ENSG00000178662	3	2.0	0.0374016568581322	2.62980154746102e-05
ENSG00000178665	ENSG00000178665	37	30.0	0.0825420586528193	2.63204674417576e-10
ENSG00000178685	ENSG00000178685	35	29.0	0.0244915028755627	0.00069852489007614
ENSG00000178694	ENSG00000178694	2	2.0	0.0102151558674486	0.0291441076062998
ENSG00000178700	ENSG00000178700	21	20.0	0.0109013860519761	0.0241957852279637
ENSG00000178719	ENSG00000178719	2	2.0	0.0148122935506358	0.00853864916036536
ENSG00000178722	ENSG00000178722	41	41.0	0.41661461924266	2.8772003666527997e-56
ENSG00000178741	ENSG00000178741	1	1.0	0.00882137549301956	0.0427097405346753
ENSG00000178750	ENSG00000178750	4	3.0	0.0192636792903896	0.00267647370182758
ENSG00000178773	ENSG00000178773	12	7.0	0.0273537571838673	0.000336554195096444
ENSG00000178802	ENSG00000178802	24	19.0	0.0821261229291922	2.93094338322542e-10
ENSG00000178809	ENSG00000178809	1	1.0	0.0110546871746658	0.0232144348250359
ENSG00000178852	ENSG00000178852	26	24.0	0.412077659423614	1.74529706402848e-55
ENSG00000178882	ENSG00000178882	28	25.0	0.0120919032932344	0.0175675534293571
ENSG00000178896	ENSG00000178896	3	2.0	0.031789287927685	0.000109021876363029
ENSG00000178904	ENSG00000178904	15	13.0	0.082884046246349	2.40920164979725e-10
ENSG00000178921	ENSG00000178921	9	9.0	0.0611744181025579	6.33252596914963e-08
ENSG00000178922	ENSG00000178922	33	32.0	0.121179160417549	1.01180867020159e-14
ENSG00000178927	ENSG00000178927	44	34.0	0.142284963932457	3.32660530883614e-17
ENSG00000178952	ENSG00000178952	13	11.0	0.0110018802268701	0.023547746529322
ENSG00000178966	ENSG00000178966	29	23.0	0.0438515619702333	5.13995971537849e-06
ENSG00000178971	ENSG00000178971	39	37.0	0.0211978291608795	0.00162531412621468
ENSG00000178972	ENSG00000178972	1	1.0	0.0187559545544463	0.00305225585325876
ENSG00000178974	ENSG00000178974	20	19.0	0.100198733625313	2.6425653996845197e-12
ENSG00000178982	ENSG00000178982	2	2.0	0.0303019524289402	0.000159026934844433
ENSG00000178988	ENSG00000178988	1	1.0	0.0114408069927162	0.020920651980361
ENSG00000178996	ENSG00000178996	20	19.0	0.0700471161612698	6.562854915816331e-09
ENSG00000179029	ENSG00000179029	1	1.0	0.0116101189668972	0.0199898387189874
ENSG00000179057	ENSG00000179057	6	6.0	0.0411240254785029	1.02508801381997e-05
ENSG00000179071	ENSG00000179071	4	4.0	0.0311644964588112	0.000127751975777216
ENSG00000179091	ENSG00000179091	1	1.0	0.00915201554466971	0.0389855813254124
ENSG00000179094	ENSG00000179094	2	1.0	0.0213487795262216	0.00156341689915078
ENSG00000179097	ENSG00000179097	14	13.0	0.0771095546269573	1.0695714933241902e-09
ENSG00000179104	ENSG00000179104	9	7.0	0.0117884089563765	0.0190556919259324
